Fecha,Cierre
04/08/24,2.032
28/07/24,1.967
21/07/24,2.006
14/07/24,2.128
07/07/24,2.329
30/06/24,2.319
23/06/24,2.601
16/06/24,2.705
09/06/24,2.881
02/06/24,2.918
26/05/24,2.587
19/05/24,2.52
12/05/24,2.626
05/05/24,2.252
28/04/24,2.142
21/04/24,1.614
14/04/24,1.752
07/04/24,1.77
31/03/24,1.785
24/03/24,1.763
17/03/24,1.659
10/03/24,1.655
03/03/24,1.805
25/02/24,1.835
18/02/24,1.603
11/02/24,1.609
04/02/24,1.847
28/01/24,2.079
21/01/24,2.712
14/01/24,2.519
07/01/24,3.313
31/12/23,2.893
24/12/23,2.514
17/12/23,2.61
10/12/23,2.491
03/12/23,2.581
26/11/23,2.814
19/11/23,2.855
12/11/23,2.96
05/11/23,3.033
29/10/23,3.515
22/10/23,3.164
15/10/23,2.899
08/10/23,3.236
01/10/23,3.338
24/09/23,2.929
17/09/23,2.637
10/09/23,2.644
03/09/23,2.605
27/08/23,2.765
20/08/23,2.54
13/08/23,2.551
06/08/23,2.77
30/07/23,2.577
23/07/23,2.638
16/07/23,2.713
09/07/23,2.539
02/07/23,2.582
25/06/23,2.798
18/06/23,2.729
11/06/23,2.632
04/06/23,2.254
28/05/23,2.172
21/05/23,2.181
14/05/23,2.585
07/05/23,2.266
30/04/23,2.137
23/04/23,2.41
16/04/23,2.233
09/04/23,2.114
02/04/23,2.011
26/03/23,2.216
19/03/23,2.216
12/03/23,2.338
05/03/23,2.43
26/02/23,3.009
19/02/23,2.451
12/02/23,2.275
05/02/23,2.514
29/01/23,2.41
22/01/23,3.109
15/01/23,3.174
08/01/23,3.419
01/01/23,3.71
25/12/22,4.475
18/12/22,5.079
11/12/22,6.6
04/12/22,6.245
27/11/22,6.281
20/11/22,7.024
13/11/22,6.303
06/11/22,5.879
30/10/22,6.4
23/10/22,5.684
16/10/22,4.959
09/10/22,6.453
02/10/22,6.748
25/09/22,6.766
18/09/22,6.828
11/09/22,7.764
04/09/22,7.996
28/08/22,8.786
21/08/22,9.296
14/08/22,9.336
07/08/22,8.768
31/07/22,8.064
24/07/22,8.229
17/07/22,8.299
10/07/22,7.016
03/07/22,6.034
26/06/22,5.73
19/06/22,6.22
12/06/22,6.944
05/06/22,8.85
29/05/22,8.523
22/05/22,8.727
15/05/22,8.083
08/05/22,7.663
01/05/22,8.043
24/04/22,7.244
17/04/22,6.534
10/04/22,7.3
03/04/22,6.278
27/03/22,5.72
20/03/22,5.571
13/03/22,4.863
06/03/22,4.725
27/02/22,5.016
20/02/22,4.47
13/02/22,4.431
06/02/22,3.941
30/01/22,4.572
23/01/22,4.639
16/01/22,3.999
09/01/22,4.262
02/01/22,3.916
26/12/21,3.73
19/12/21,3.731
12/12/21,3.69
05/12/21,3.925
28/11/21,4.132
21/11/21,5.447
14/11/21,5.065
07/11/21,4.791
31/10/21,5.516
24/10/21,5.426
17/10/21,5.28
10/10/21,5.41
03/10/21,5.565
26/09/21,5.619
19/09/21,5.14
12/09/21,5.105
05/09/21,4.938
29/08/21,4.712
22/08/21,4.37
15/08/21,3.851
08/08/21,3.861
01/08/21,4.14
25/07/21,3.914
18/07/21,4.06
11/07/21,3.674
04/07/21,3.674
27/06/21,3.7
20/06/21,3.496
13/06/21,3.215
06/06/21,3.296
30/05/21,3.097
23/05/21,2.986
16/05/21,2.906
09/05/21,2.961
02/05/21,2.958
25/04/21,2.931
18/04/21,2.73
11/04/21,2.68
04/04/21,2.526
28/03/21,2.639
21/03/21,2.557
14/03/21,2.535
07/03/21,2.6
28/02/21,2.701
21/02/21,2.771
14/02/21,3.069
07/02/21,2.912
31/01/21,2.863
24/01/21,2.564
17/01/21,2.446
